,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,hygiene_rate,Infected,Susceptible,Resistant
255,255,23,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,0,10
256,256,23,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
257,257,23,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,0,10
258,258,23,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
259,259,23,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
260,260,23,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,2,8
261,261,23,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
262,262,23,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
263,263,23,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
264,264,24,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,2,8
265,265,24,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
266,266,24,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,10,0
267,267,24,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
268,268,24,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
269,269,24,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
270,270,24,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,2,8
271,271,24,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
272,272,24,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
273,273,24,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
274,274,24,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
275,275,25,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,2,8
276,276,25,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,7
277,277,25,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
278,278,25,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
279,279,25,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,3,7
280,280,25,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
281,281,25,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
282,282,25,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
283,283,25,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,8,2
284,284,25,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,8,2
285,285,25,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,1,9
286,286,26,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,3,7
287,287,26,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,0,10
288,288,26,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
289,289,26,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
290,290,26,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,4,6
291,291,26,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
292,292,26,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
293,293,26,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,2,8
294,294,26,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
295,295,26,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,1,9
296,296,26,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,1,9
297,297,27,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
298,298,27,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,7
299,299,27,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,3,7
300,300,27,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
301,301,27,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,9,1
302,302,27,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
303,303,27,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
304,304,27,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,5,5
305,305,27,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,2,8
306,306,27,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,2,8
307,307,27,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,1,9
308,308,28,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
